3,2,273.73,452.15,35.85,74.38,1,-1,-1,-1
10,2,282.32,475.76,25.77,62.57,1,-1,-1,-1
13,2,289.41,482.85,26.14,64.93,1,-1,-1,-1
17,2,296.51,485.21,25.77,72.01,1,-1,-1,-1
21,2,305.10,487.57,24.27,69.65,1,-1,-1,-1
25,2,302.86,474.58,29.13,61.39,1,-1,-1,-1
28,2,291.65,454.51,29.88,55.49,1,-1,-1,-1
32,2,277.09,420.28,26.51,61.39,1,-1,-1,-1
32,2,276.72,425.00,28.75,57.85,1,-1,-1,-1
33,2,271.12,415.56,31.00,56.67,1,-1,-1,-1
36,2,266.26,389.58,26.14,70.83,1,-1,-1,-1
40,2,270.37,378.96,29.88,46.04,1,-1,-1,-1
45,2,278.21,342.36,25.39,67.29,1,-1,-1,-1
48,2,273.73,331.74,28.38,64.93,1,-1,-1,-1
53,2,250.58,315.21,31.00,68.47,1,-1,-1,-1
57,2,227.42,312.85,29.50,70.83,1,-1,-1,-1
61,2,202.40,304.58,28.75,54.31,1,-1,-1,-1
65,2,186.72,295.14,27.63,44.86,1,-1,-1,-1
69,2,200.54,277.43,26.51,54.31,1,-1,-1,-1
73,2,218.46,266.81,29.87,38.96,1,-1,-1,-1
74,2,224.44,250.28,32.86,72.01,1,-1,-1,-1
78,2,241.24,245.56,31.00,57.85,1,-1,-1,-1
119,2,219.95,286.88,33.61,53.12,1,-1,-1,-1
122,2,203.52,301.04,32.86,49.58,1,-1,-1,-1
125,2,176.64,309.31,37.34,46.04,1,-1,-1,-1
126,2,175.52,312.85,25.77,50.76,1,-1,-1,-1
127,2,170.66,312.85,28.75,43.68,1,-1,-1,-1
129,2,161.70,310.49,33.61,46.04,1,-1,-1,-1
132,2,161.32,301.04,30.62,49.58,1,-1,-1,-1
137,2,198.30,296.32,32.49,57.85,1,-1,-1,-1
139,2,228.92,296.32,29.88,50.76,1,-1,-1,-1
141,2,253.56,290.42,32.49,69.65,1,-1,-1,-1
143,2,282.69,306.94,28.38,48.40,1,-1,-1,-1
144,2,294.64,312.85,29.13,46.04,1,-1,-1,-1
145,2,303.23,311.67,29.13,61.39,1,-1,-1,-1
146,2,313.69,311.67,26.14,66.11,1,-1,-1,-1
147,2,320.04,330.56,25.02,54.31,1,-1,-1,-1
150,2,328.25,347.08,24.65,60.21,1,-1,-1,-1
154,2,320.04,368.33,26.89,55.49,1,-1,-1,-1
161,2,314.81,360.07,27.26,54.31,1,-1,-1,-1
165,2,316.67,329.38,22.03,44.86,1,-1,-1,-1
168,2,309.95,303.40,26.51,49.58,1,-1,-1,-1
170,2,305.85,289.24,27.63,42.50,1,-1,-1,-1
174,2,302.48,302.22,28.01,41.32,1,-1,-1,-1
179,2,293.52,340.00,24.65,43.68,1,-1,-1,-1
180,2,288.67,352.99,23.90,48.40,1,-1,-1,-1
182,2,279.70,375.42,25.77,48.40,1,-1,-1,-1
184,2,271.86,399.03,25.77,31.88,1,-1,-1,-1
186,2,261.03,400.21,24.65,54.31,1,-1,-1,-1
191,2,247.59,423.82,23.53,43.68,1,-1,-1,-1
204,2,246.47,427.36,25.02,46.04,1,-1,-1,-1
211,2,257.30,454.51,23.90,53.12,1,-1,-1,-1
215,2,264.77,480.49,25.39,50.76,1,-1,-1,-1
219,2,272.24,505.28,23.15,42.50,1,-1,-1,-1
225,2,258.79,514.72,28.38,54.31,1,-1,-1,-1
229,2,247.96,501.74,24.27,43.68,1,-1,-1,-1
230,2,246.10,492.29,22.41,50.76,1,-1,-1,-1
234,2,240.12,474.58,24.65,48.40,1,-1,-1,-1
237,2,239.37,472.22,25.39,31.88,1,-1,-1,-1
258,2,228.92,433.26,26.89,47.22,1,-1,-1,-1
258,2,225.56,430.90,32.86,50.76,1,-1,-1,-1
258,2,230.41,434.44,25.39,44.86,1,-1,-1,-1
266,2,215.47,460.42,30.62,44.86,1,-1,-1,-1
269,2,214.73,467.50,26.51,49.58,1,-1,-1,-1
272,2,221.45,472.22,28.38,47.22,1,-1,-1,-1
275,2,227.05,456.88,31.00,50.76,1,-1,-1,-1
279,2,236.01,429.72,25.77,49.58,1,-1,-1,-1
282,2,240.49,412.01,33.24,44.86,1,-1,-1,-1
287,2,252.82,382.50,29.88,49.58,1,-1,-1,-1
290,2,254.31,362.43,33.98,62.57,1,-1,-1,-1
295,2,266.26,355.35,34.73,50.76,1,-1,-1,-1
299,2,271.86,345.90,37.72,54.31,1,-1,-1,-1
303,2,274.10,335.28,39.96,55.49,1,-1,-1,-1
318,2,284.19,316.39,41.45,59.03,1,-1,-1,-1
320,2,295.76,291.60,43.69,72.01,1,-1,-1,-1
322,2,306.22,269.17,49.29,85.00,1,-1,-1,-1
324,2,308.83,265.62,54.90,72.01,1,-1,-1,-1
328,2,310.33,260.90,54.52,81.46,1,-1,-1,-1
334,2,299.12,263.26,50.04,81.46,1,-1,-1,-1
336,2,294.27,269.17,51.91,74.38,1,-1,-1,-1
340,2,282.69,269.17,56.76,89.72,1,-1,-1,-1
345,2,271.86,286.88,49.67,69.65,1,-1,-1,-1
348,2,261.41,288.06,50.79,80.28,1,-1,-1,-1
351,2,247.59,292.78,56.39,77.92,1,-1,-1,-1
357,2,237.88,340.00,39.96,59.03,1,-1,-1,-1
377,2,246.10,396.67,28.38,63.75,1,-1,-1,-1
392,2,245.35,434.44,26.14,38.96,1,-1,-1,-1
394,2,242.36,432.08,25.02,47.22,1,-1,-1,-1
400,2,233.02,428.54,28.38,57.85,1,-1,-1,-1
407,2,233.77,419.10,28.01,56.67,1,-1,-1,-1
409,2,234.52,422.64,27.26,53.12,1,-1,-1,-1
412,2,237.88,433.26,23.15,40.14,1,-1,-1,-1
